PaymentDate,VendorName,PaymentAmount,Fund,FundDescription,Center,CenterName,Account,AccountName,FiscalYear,AccountingPeriod
8/14/2017 0:00,BLACK BOX RESALE SERVICES                    ,15482.3,100,GENERAL,2750A,IT - TELEPHONE EQUIPMENT           ,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/14/2017 0:00,BLADE TECHS INC                              ,2009.1,600,WATER,29201,WATER DISTRIBUTION                 ,53720,SMALL TOOLS & EQUIPMENT            ,2018,2
8/14/2017 0:00,BROADSTONE SCOTTSDALE WATERFRONT LLC         ,1000,230,GRANTS,36209,SRP-MIC FY16/17 MUNOZ-VILLAFAN     ,52880,HOUSING ASSISTANCE (NON-SECTION 8) ,2018,2
8/14/2017 0:00,C & I SHOW HARDWARE AND SECURITY SYSTEMS INC ,421.59,100,GENERAL,20904,BUILDING MAINTENANCE AND REPAIR    ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/14/2017 0:00,CARLYN SHEPP                                 ,132.75,100,GENERAL,22219,TRAINING                           ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,2
8/14/2017 0:00,CENTURYLINK                                  ,14535.38,643,2017B MPC BONDS AVIATION,AB59B,AIRPORT TERMINAL AREA RDVLOPMENT PR,56026,BLDG - OTHER SERVICES              ,2018,2
8/14/2017 0:00,CITY OF MESA                                 ,10000,280,SPECIAL PROGRAMS,22302,STATE FORFEITURES                  ,52826,INTERGOVERNMENTAL PAYMENTS         ,2018,2
8/14/2017 0:00,COX COMMUNICATIONS PHOENIX                   ,87.33,100,GENERAL,22209,PATROL HIGH ENFORCEMENT ARREST TEAM,52226,SPECIALTY LINES - COMMUNICATIONS   ,2018,2
8/14/2017 0:00,COX COMMUNICATIONS PHOENIX                   ,292.84,100,GENERAL,22610,TECHNOLOGY SERVICES                ,52226,SPECIALTY LINES - COMMUNICATIONS   ,2018,2
8/14/2017 0:00,CUMMINS ROCKY MOUNTAIN LLC                   ,777.24,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52350,SOFTWARE MAINT & LICENSING         ,2018,2
8/14/2017 0:00,CUMMINS ROCKY MOUNTAIN LLC                   ,553.85,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,CURRIER CONSTRUCTION INC                     ,2681.62,600,WATER,29260,CHAPARRAL WATER TREATMENT PLANT    ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,DAVID STEEL                                  ,132.75,100,GENERAL,22219,TRAINING                           ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,2
8/14/2017 0:00,DBA CONSTRUCTION                             ,18926.51,400,CIP GENERAL,PD03A,MCCORMICK PARK RESERVOIR REMOVAL *0,56083,CONT - OTHER STRUCTURES            ,2018,2
8/14/2017 0:00,DBA CONSTRUCTION                             ,6410.64,410,CIP TRANSPORTATION PRIVILEGE TAX ,TD01A,DOWNTOWN SIDEWALK IMPROVEMENTS     ,56084,CONT - STREETS                     ,2018,2
8/14/2017 0:00,DBA CONSTRUCTION                             ,3193.45,412,CIP TPC BASIN,PC04A,TPC GOLF COURSE WATER STATIONS     ,56086,CONT - OTHER                       ,2018,2
8/14/2017 0:00,DH PACE DOOR SERVICES                        ,2846.65,100,GENERAL,20902,CONTRACT ADMINISTRATION            ,52330,"MAINTENANCE, BUILDINGS & STRUCTURE ",2018,2
8/14/2017 0:00,DMD REAL ESTATE GROUP                        ,1162.5,640,AVIATION,21900,AVIATION                           ,52130,CONSULTANTS                        ,2018,2
8/14/2017 0:00,DP AIR CORP                                  ,195,100,GENERAL,27501,NETWORK OPERATIONS                 ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,EMISSION COMPLIANT CONTROLS CORP             ,3406.4,600,WATER,29275,BOOSTER STATIONS                   ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,EWING IRRIGATION PRODUCTS                    ,273.54,100,GENERAL,25411,IRRIGATION REPAIR                  ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/14/2017 0:00,EWING IRRIGATION PRODUCTS                    ,1165.26,100,GENERAL,25416,MAINTENANCE-ELDORADO PARK          ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/14/2017 0:00,FERGUSON ENTERPRISES INC #1001               ,343.28,100,GENERAL,20906,PLUMBING MAINTENANCE               ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/14/2017 0:00,FIRETROL PROTECTION SYSTEMS INC              ,3693,100,GENERAL,20902,CONTRACT ADMINISTRATION            ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,FX TURF SPECIALIST LLC                       ,592.42,100,GENERAL,25414,MAINTENANCE-CHAPARRAL PARK         ,52322,"MAINTENANCE, MOWING                ",2018,2
8/14/2017 0:00,FX TURF SPECIALIST LLC                       ,6199.41,100,GENERAL,25426,MAINTENANCE-SCOTTSDALESPORTSCOMPLEX,52322,"MAINTENANCE, MOWING                ",2018,2
8/14/2017 0:00,GOLDWING APPLIANCE FACTORY SERVICE           ,139.03,100,GENERAL,22035,FIRE RESOURCE MANAGEMENT           ,52390,MISC MAINTENANCE AND REPAIR        ,2018,2
8/14/2017 0:00,GRAINGER                                     ,350.76,100,GENERAL,20904,BUILDING MAINTENANCE AND REPAIR    ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/14/2017 0:00,GRAINGER                                     ,71.9,100,GENERAL,22035,FIRE RESOURCE MANAGEMENT           ,53021,FIRE STATION SUPPLIES AND EQUIPMENT,2018,2
8/14/2017 0:00,GRAINGER                                     ,200.56,100,GENERAL,25420,LANDSCAPE CONTRACTS                ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,2
8/14/2017 0:00,GRAINGER                                     ,210.53,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,53780,OTHER MAINTENANCE & REPAIR SUPPLY  ,2018,2
8/14/2017 0:00,GRAYBAR ELECTRIC COMPANY INC                 ,950.57,100,GENERAL,27501,NETWORK OPERATIONS                 ,53090,OTHER OPERATING SUPPLIES           ,2018,2
8/14/2017 0:00,HILL BROTHERS CHEMICAL CO                    ,1759.32,100,GENERAL,25410,MAINTENANCE - FOUNTAINS & AQUATICS ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,2
8/14/2017 0:00,HILL BROTHERS CHEMICAL CO                    ,690,612,GAINEY RANCH WWTP,29607,GAINEY RANCH WATER RECLAMATION     ,53051,TREATMENT CHEMICAL(NON-TAXABLE)    ,2018,2
8/14/2017 0:00,INTEGRATED LANDSCAPE MANAGEMENT              ,1943,100,GENERAL,25426,MAINTENANCE-SCOTTSDALESPORTSCOMPLEX,52322,"MAINTENANCE, MOWING                ",2018,2
8/14/2017 0:00,INTERMOUNTAIN LOCK AND SECURITY              ,331.46,100,GENERAL,20904,BUILDING MAINTENANCE AND REPAIR    ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/14/2017 0:00,JEROMIE O MEARA                              ,132.75,100,GENERAL,22219,TRAINING                           ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,2
8/14/2017 0:00,JOHN E REID AND ASSOCIATES INC               ,1800,100,GENERAL,22219,TRAINING                           ,52245,TRAINING/BUSINESS CONFERENCE       ,2018,2
8/14/2017 0:00,JOHNSON STEWART MATERIALS LLC                ,50,100,GENERAL,20907,CONSTRUCTION SERVICES              ,52870,LANDFILL CONTRACT                  ,2018,2
8/14/2017 0:00,KELLY PAPER                                  ,186.21,100,GENERAL,27220,GRAPHIC AND PRINTING SOLUTIONS *06/,53060,PHOTOGRAPHIC & DUPLICATING SUPPLIES,2018,2
8/14/2017 0:00,KIMLEY HORN AND ASSOCIATES INC               ,37815.36,410,CIP TRANSPORTATION PRIVILEGE TAX ,TC02A,WESTWORLD TRAIL CONNECTIONS        ,56047,DSGN - ENGINEERING SERVICES        ,2018,2
8/14/2017 0:00,LEGEND TECHNICAL SERVICES OF ARIZONA INC     ,600,600,WATER,29460,WATER LABORATORY                   ,52151,LABORATORY TESTING                 ,2018,2
8/14/2017 0:00,LIBRARY IDEAS LLC                            ,6000,100,GENERAL,25602,LIBRARY OPERATIONS                 ,53601,LIBRARY E-MATERIALS                ,2018,2
8/14/2017 0:00,LIGHTING UNLIMITED                           ,1040.37,100,GENERAL,20903,ELECTRICAL  MAINTENANCE            ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/14/2017 0:00,LIGHTING UNLIMITED                           ,20735.04,285,TOURISM DEVELOPMENT,21743,TOURISM DEVELOPMENT CARRY-OVER     ,54260,CONTRACTUAL CONSTRUCTION-OTHER     ,2018,2
8/14/2017 0:00,LINKEDIN CORPORATION                         ,2604.35,230,GRANTS,36077,STATE GRANT IN AID 2017 *03/18     ,52245,TRAINING/BUSINESS CONFERENCE       ,2018,2
8/14/2017 0:00,LOFTIN EQUIPMENT COMPANY INC                 ,738.76,100,GENERAL,20902,CONTRACT ADMINISTRATION            ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,LUCITY INC                                   ,2250,200,TRANSPORTATION,20840,ASPHALT & MAINTENANCE              ,52245,TRAINING/BUSINESS CONFERENCE       ,2018,2
8/14/2017 0:00,MARIE CAMPI                                  ,132,100,GENERAL,25451,LEISURE EDUCATION PROGRAMS         ,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/14/2017 0:00,MIDWEST TAPE                                 ,6318.81,100,GENERAL,25602,LIBRARY OPERATIONS                 ,53600,LIBRARY MATERIALS                  ,2018,2
8/14/2017 0:00,MINER SOUTHWEST LLC                          ,592.63,100,GENERAL,20902,CONTRACT ADMINISTRATION            ,52330,"MAINTENANCE, BUILDINGS & STRUCTURE ",2018,2
8/14/2017 0:00,NATIONAL WESTERN CAPITAL CORPORATON          ,216320,100,GENERAL,21500,WESTWORLD                          ,52185,ADVERTISING                        ,2018,2
8/14/2017 0:00,OFFICE DEPOT                                 ,36.46,100,GENERAL,21500,WESTWORLD                          ,53020,OFFICE SUPPLIES                    ,2018,2
8/14/2017 0:00,PROFORCE LAW ENFORCEMENT                     ,1877.61,280,SPECIAL PROGRAMS,22310,POLICE DPT OFFICER SAFETY EQUIPMENT,53080,AMMUNITION AND WEAPONS             ,2018,2
8/14/2017 0:00,REDDY ICE                                    ,524.55,100,GENERAL,20902,CONTRACT ADMINISTRATION            ,53090,OTHER OPERATING SUPPLIES           ,2018,2
8/14/2017 0:00,REGIONAL PAVEMENT MAINTENANCE OF ARIZONA INC ,37217.94,200,TRANSPORTATION,20840,ASPHALT & MAINTENANCE              ,52155,STREET OVERLAY                     ,2018,2
8/14/2017 0:00,SALT RIVER PROJECT                           ,11823.88,100,GENERAL,20610,REAL ESTATE                        ,52510,LAND RENTS                         ,2018,2
8/14/2017 0:00,SIGMA ALDRICH INC                            ,176.04,603,WATER RECLAMATION,29470,WATER RECLAMATION LABORATORY       ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,2
8/14/2017 0:00,SIMPLOT PARTNERS                             ,2887.56,100,GENERAL,25404,PROFESSIONAL BASEBALL              ,53010,AGRICULTURE & HORTICULTURE SUPPLY  ,2018,2
8/14/2017 0:00,SIMPLOT PARTNERS                             ,6330.42,100,GENERAL,25422,YOUTH SPORTS FIELD MAINTENANCE     ,53010,AGRICULTURE & HORTICULTURE SUPPLY  ,2018,2
8/14/2017 0:00,SIRCHIE ACQUISITION COMPANY LLC              ,246.57,100,GENERAL,22426,CRIME SCENE PROCESSING             ,53090,OTHER OPERATING SUPPLIES           ,2018,2
8/14/2017 0:00,SOMERSET LANDSCAPE                           ,458.38,100,GENERAL,25412,MEDIANS & RIGHT-OF-WAY MAINTENANCE ,52323,LANDSCAPING                        ,2018,2
8/14/2017 0:00,SOUTHWEST TRAFFIC SYSTEMS INC                ,3623.04,200,TRANSPORTATION,20860,TRAFFIC SIGNALS                    ,53790,"MAT TO MAINT & REPAIR MACH, EQUIP  ",2018,2
8/14/2017 0:00,TDINDUSTRIES INC                             ,320.46,600,WATER,29275,BOOSTER STATIONS                   ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,TDINDUSTRIES INC                             ,3296.9,603,WATER RECLAMATION,29380,WATER CAMPUS WATER RECLAMATION PLNT,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,THERMO FLUIDS INC                            ,80,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/14/2017 0:00,TRAFFICADE                                   ,1515.08,200,TRANSPORTATION,20810,GRADING AND DRAINAGE               ,52590,OTHER RENTALS                      ,2018,2
8/14/2017 0:00,TRANE                                        ,3424.47,100,GENERAL,20905,HVAC MAINTENANCE                   ,53790,"MAT TO MAINT & REPAIR MACH, EQUIP  ",2018,2
8/14/2017 0:00,UNITED TRANSPORTATION SERVICES LLC           ,4167.48,200,TRANSPORTATION,21110,TRANSIT OPERATIONS                 ,52866,TAXI VOUCHER PROGRAM               ,2018,2
8/14/2017 0:00,VALLEY RAIN CONSTRUCTION INC                 ,3073.3,458,PRESERVE TAX '04-LAND & IMPRVMTS,PB54A,NORTH & CENTRAL ACCESS CNTRL STBLZN,56086,CONT - OTHER                       ,2018,2
8/14/2017 0:00,WALTER J TURBERVILLE III                     ,200,280,SPECIAL PROGRAMS,25399,VIA LINDA SPEC EVENT SPONSORSHIPS  ,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,8956.27,100,GENERAL,1080,COURT                              ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,5381.51,100,GENERAL,21220,PERMIT SERVICES - ONE STOP SHOP    ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,51.06,100,GENERAL,21500,WESTWORLD                          ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,70.67,100,GENERAL,22023,FIRE & LIFE SAFETY SERVICES        ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,-61.43,100,GENERAL,22205,DETENTION                          ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,248.77,100,GENERAL,22429,PERSONS CRIMES                     ,52226,SPECIALTY LINES - COMMUNICATIONS   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,96.28,100,GENERAL,22611,RECORDS                            ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,543.12,100,GENERAL,23580,REMITTANCE PROCESSING/RECORDS MGT  ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,1216.77,100,GENERAL,25000,COMMUNITY SERVICES PLANNING & ADMIN,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,4335.29,600,WATER,23581,REMITTANCE PROCESSING-WATER        ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,3853.59,603,WATER RECLAMATION,23582,REMITTANCE PROCESSING-WTR RECLAMATN,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,412.03,640,AVIATION,21900,AVIATION                           ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WELLS FARGO                                  ,3853.59,650,SOLID WASTE MANAGEMENT,23583,REMITTANCE PROCESSING-SOLID WST    ,52165,BANKING SERVICES                   ,2018,2
8/14/2017 0:00,WEST COAST TURF                              ,1700,100,GENERAL,25433,MAINTENANCE-COPPER RIDGE           ,53010,AGRICULTURE & HORTICULTURE SUPPLY  ,2018,2
8/15/2017 0:00,ACE AUTO COLLISION & PAINTING SERVICES INC   ,5088.56,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,52365,"MAINTENANCE, VEH REP/ACCIDENTS     ",2018,2
8/15/2017 0:00,ACE UNIFORMS OF PHOENIX                      ,172.85,100,GENERAL,22433,TACTICAL OPERATIONS                ,53050,CLOTHING & PERSONAL PROTECT EQUIP  ,2018,2
8/15/2017 0:00,ACE UNIFORMS OF PHOENIX                      ,813.09,100,GENERAL,22607,RESOURCE MANAGEMENT                ,53050,CLOTHING & PERSONAL PROTECT EQUIP  ,2018,2
8/15/2017 0:00,ACHEN GARDNER CONSTRUCTION LLC               ,10929.28,602,CIP WATER,WB77B,WATER DISTRIBUTION SYSTEM IMPROV   ,56093,CONT - WATER - DISTRIBUTION SYSTEM ,2018,2
8/15/2017 0:00,AIRPARK SIGNS & GRAPHICS                     ,2741.94,409,CIP TOURISM DEVELOPMENT,DC02A,DDC BUSINESS PLN & FSBLT ANALYSIS  ,56046,DSGN - OTHER SERVICES              ,2018,2
8/15/2017 0:00,BAKER & TAYLOR LLC                           ,1745.11,100,GENERAL,25602,LIBRARY OPERATIONS                 ,53600,LIBRARY MATERIALS                  ,2018,2
8/15/2017 0:00,BRIGITTE YANCY INTERNATIONAL LLC             ,1092,100,GENERAL,25451,LEISURE EDUCATION PROGRAMS         ,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/15/2017 0:00,BROWN WHOLESALE ELECTRIC                     ,123.88,100,GENERAL,20903,ELECTRICAL  MAINTENANCE            ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/15/2017 0:00,BUDGET RENT A CAR SYSTEM INC                 ,2032.14,100,GENERAL,22219,TRAINING                           ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,2
8/15/2017 0:00,C & I SHOW HARDWARE AND SECURITY SYSTEMS INC ,210.8,100,GENERAL,20904,BUILDING MAINTENANCE AND REPAIR    ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/15/2017 0:00,CDW GOVERNMENT INC                           ,165.13,100,GENERAL,1070,CITY AUDITOR                       ,54522,COMPUTER EQUIPMENT                 ,2018,2
8/15/2017 0:00,CDW GOVERNMENT INC                           ,660.5,200,TRANSPORTATION,20800,STREET OPERATIONS ADMINISTRATION   ,54522,COMPUTER EQUIPMENT                 ,2018,2
8/15/2017 0:00,CERTIFIED FOLDER DISPLAY SERVICE INC         ,6446.97,100,GENERAL,21701,DOWNTOWN/CULTURAL PROGRAMS         ,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/15/2017 0:00,CINTAS CORPORATION                           ,37.73,612,GAINEY RANCH WWTP,29607,GAINEY RANCH WATER RECLAMATION     ,52380,UNIFORM CLEANING                   ,2018,2
8/15/2017 0:00,CLASS C SOLUTIONS GROUP                      ,201.46,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,53780,OTHER MAINTENANCE & REPAIR SUPPLY  ,2018,2
8/15/2017 0:00,CLEAN ENERGY                                 ,11453.79,700,FLEET MANAGEMENT,20711,FUEL                               ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/15/2017 0:00,COX COMMUNICATIONS PHOENIX                   ,5067.54,100,GENERAL,25000,COMMUNITY SERVICES PLANNING & ADMIN,52226,SPECIALTY LINES - COMMUNICATIONS   ,2018,2
8/15/2017 0:00,DEBORAH KAYATT                               ,480,100,GENERAL,25451,LEISURE EDUCATION PROGRAMS         ,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/15/2017 0:00,DESERT DELITES                               ,58.56,280,SPECIAL PROGRAMS,25494,MCCORMICK RR PK/REV FACILITIES OPER,53101,FOOD PURCHASED FOR RESALE          ,2018,2
8/15/2017 0:00,DETECTION INSTRUMENTS CORPORATION            ,1332.37,603,WATER RECLAMATION,29321,SEWER SYSTEM                       ,53794,MAT TO MAINT AND REPAIR MECH SYS   ,2018,2
8/15/2017 0:00,DIRECTV                                      ,22.99,100,GENERAL,22607,RESOURCE MANAGEMENT                ,52226,SPECIALTY LINES - COMMUNICATIONS   ,2018,2
8/15/2017 0:00,DWYER INSTRUMENTS INC                        ,1739.44,612,GAINEY RANCH WWTP,29607,GAINEY RANCH WATER RECLAMATION     ,53793,MAT TO MAINT AND REPAIR ELEC       ,2018,2
8/15/2017 0:00,ECONOMIC MODELING LLC                        ,20486.14,100,GENERAL,21410,BUSINESS DEVELOPMENT               ,52350,SOFTWARE MAINT & LICENSING         ,2018,2
8/15/2017 0:00,ELEMENTS MUSIC                               ,1105.5,100,GENERAL,25451,LEISURE EDUCATION PROGRAMS         ,52190,OTHER PROFESSIONAL SERVICES        ,2018,2
8/15/2017 0:00,ENTERPRISE FLEET MANAGEMENT                  ,1000,100,GENERAL,22607,RESOURCE MANAGEMENT                ,52820,DAMAGE CLAIMS                      ,2018,2
8/15/2017 0:00,ENVIRONMENTAL DRAIN & ODOR CONTROL SERVICES  ,430,100,GENERAL,20906,PLUMBING MAINTENANCE               ,52330,"MAINTENANCE, BUILDINGS & STRUCTURE ",2018,2
8/15/2017 0:00,ENVIRONMENTAL OPERATING SOLUTIONS INC        ,9341.25,603,WATER RECLAMATION,29380,WATER CAMPUS WATER RECLAMATION PLNT,53051,TREATMENT CHEMICAL(NON-TAXABLE)    ,2018,2
8/15/2017 0:00,EWING IRRIGATION PRODUCTS                    ,14.99,100,GENERAL,25404,PROFESSIONAL BASEBALL              ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/15/2017 0:00,EWING IRRIGATION PRODUCTS                    ,5137.61,100,GENERAL,25411,IRRIGATION REPAIR                  ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/15/2017 0:00,EWING IRRIGATION PRODUCTS                    ,1299.05,100,GENERAL,25412,MEDIANS & RIGHT-OF-WAY MAINTENANCE ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/15/2017 0:00,EWING IRRIGATION PRODUCTS                    ,13.34,100,GENERAL,25437,MAINTENANCE - NORTH AREA PARKS     ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/15/2017 0:00,FERGUSON ENTERPRISES INC #1001               ,61.37,100,GENERAL,20906,PLUMBING MAINTENANCE               ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/15/2017 0:00,FERGUSON ENTERPRISES INC #1001               ,2161.4,604,RWDS,29601,RECLAIMED WATER DISTRIBUTION       ,53794,MAT TO MAINT AND REPAIR MECH SYS   ,2018,2
8/15/2017 0:00,FIRETROL PROTECTION SYSTEMS INC              ,3195.5,100,GENERAL,20902,CONTRACT ADMINISTRATION            ,52360,"MAINT - MACHINERY, EQUIP & AUTOS   ",2018,2
8/15/2017 0:00,FISHER SCIENTIFIC                            ,80.69,600,WATER,29460,WATER LABORATORY                   ,53040,CHEMICALS & LABORATORY SUPPLIES    ,2018,2
8/15/2017 0:00,GARY P MASCARO                               ,56.42,640,AVIATION,21900,AVIATION                           ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,2
8/15/2017 0:00,GIS PLANNING INC                             ,7500,100,GENERAL,21410,BUSINESS DEVELOPMENT               ,52350,SOFTWARE MAINT & LICENSING         ,2018,2
8/15/2017 0:00,GRAINGER                                     ,155.22,100,GENERAL,20903,ELECTRICAL  MAINTENANCE            ,53770,MTRS TO MAINT & REPAIR BLDS & IMPR ,2018,2
8/15/2017 0:00,GRAINGER                                     ,270.94,100,GENERAL,22035,FIRE RESOURCE MANAGEMENT           ,53021,FIRE STATION SUPPLIES AND EQUIPMENT,2018,2
8/15/2017 0:00,GRAINGER                                     ,664.17,600,WATER,29530,UTILITIES MAINTENANCE - WATER      ,53720,SMALL TOOLS & EQUIPMENT            ,2018,2
8/15/2017 0:00,GRAINGER                                     ,1142.16,603,WATER RECLAMATION,29321,SEWER SYSTEM                       ,53794,MAT TO MAINT AND REPAIR MECH SYS   ,2018,2
8/15/2017 0:00,GRAINGER                                     ,26.07,700,FLEET MANAGEMENT,20706,FLEET MANAGEMENT OPERATIONS        ,53780,OTHER MAINTENANCE & REPAIR SUPPLY  ,2018,2
8/15/2017 0:00,HELEN GANDARA                                ,61,100,GENERAL,22219,TRAINING                           ,52230,OVERNIGHT TRAIN/BUSINESS CONF TRAVL,2018,2
8/15/2017 0:00,HP INC                                       ,14568.76,400,CIP GENERAL,YE04A,CITYWIDE AUDIO/VIDEO EQUI REPL     ,56157,IT - EQUIPMENT                     ,2018,2
8/15/2017 0:00,HP INC                                       ,240.73,720,PC REPLACEMENT,27506,PC REPLACEMENTS                    ,54522,COMPUTER EQUIPMENT                 ,2018,2
8/15/2017 0:00,INFORMATION MARKET                           ,300,100,GENERAL,23520,TAX AUDIT                          ,52800,SUBSCRIPTIONS & MEMBERSHIPS        ,2018,2
8/15/2017 0:00,INTERNATIONAL ASSOCIATION FOR IDENTIFICATION ,300,100,GENERAL,22426,CRIME SCENE PROCESSING             ,52800,SUBSCRIPTIONS & MEMBERSHIPS        ,2018,2
